epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,7788.83,1.38195,1.48863,0.9898,0.67146,0.60885,0.65283,0.3766,1.29039,1.1521,0.94417,1.85408e-05,1.85408e-05,1.85408e-05
63,7909.25,1.40699,1.4907,1.00443,0.68625,0.59944,0.65934,0.37829,1.29238,1.14951,0.94506,1.63189e-05,1.63189e-05,1.63189e-05
64,8030.21,1.40811,1.51623,1.00036,0.69334,0.60472,0.66285,0.38086,1.28565,1.13849,0.94361,1.42456e-05,1.42456e-05,1.42456e-05
65,8150.99,1.35345,1.45428,0.98084,0.68618,0.58671,0.65632,0.37537,1.29594,1.16131,0.94471,1.23245e-05,1.23245e-05,1.23245e-05
66,8273.16,1.28758,1.18948,0.94533,0.66006,0.61597,0.65758,0.37911,1.29732,1.16277,0.9455,1.0559e-05,1.0559e-05,1.0559e-05
67,8394.1,1.31245,1.16724,0.9592,0.68465,0.59087,0.65727,0.3778,1.29646,1.1616,0.94614,8.95213e-06,8.95213e-06,8.95213e-06
68,8514.55,1.29495,1.13992,0.94978,0.67414,0.60705,0.66088,0.38202,1.29892,1.14681,0.94635,7.50674e-06,7.50674e-06,7.50674e-06
69,8634.84,1.28353,1.16134,0.94798,0.6739,0.6079,0.66124,0.3822,1.29895,1.14242,0.94593,6.22537e-06,6.22537e-06,6.22537e-06
70,8755.21,1.2613,1.12177,0.94924,0.66156,0.61743,0.66016,0.38098,1.29532,1.1526,0.94378,5.11027e-06,5.11027e-06,5.11027e-06
71,8875.53,1.27876,1.08296,0.95131,0.66591,0.61569,0.66031,0.38189,1.29698,1.15223,0.94633,4.16339e-06,4.16339e-06,4.16339e-06
72,8996.1,1.28869,1.12468,0.96153,0.65997,0.62475,0.66188,0.38463,1.29711,1.14784,0.94487,3.38639e-06,3.38639e-06,3.38639e-06
73,9116.31,1.27764,1.11202,0.95712,0.66309,0.63083,0.6614,0.38081,1.29852,1.147,0.94544,2.78064e-06,2.78064e-06,2.78064e-06
74,9236.49,1.29849,1.13405,0.95689,0.67118,0.62113,0.6591,0.3815,1.29962,1.15051,0.94538,2.34721e-06,2.34721e-06,2.34721e-06
75,9357.31,1.29184,1.11896,0.95389,0.66253,0.62747,0.65981,0.38142,1.29878,1.15156,0.94668,2.08684e-06,2.08684e-06,2.08684e-06
